date,MonthYear,year,time,occupancy,precinct,bbl,reason,dba,address,zip,floor,corp,sex,race,inspector,notes,buildings_violations,buildings_summonses,buildings_ecb,buildings_violationsCW,fire_violations,fire_summonses,fire_ecb,fire_violationsCW,police_summonses,police_arrests,police_ecb,health_summonses,health_arrests,health_ecb,citation-ANY,citation-YN
4/22/15,04/2015,2015,,Illegal Hotel,PBQN,QN-05040-0014,Complaint - BIS,,"132-10 41 Road, Flushing, New York 11355",11355,7a,,,,Davis Parczewski,"ECB DEPT. OF BUILDINGS 35151853H,
ECB DEPT. OF BUILDINGS 35151854J,
ECB DEPT. OF BUILDINGS 35151852X,
ECB DEPT. OF BUILDINGS 35151855L,
ECB DEPT. OF BUILDINGS 35151857P,
ECB DEPT. OF BUILDINGS 35151856N,
Inspection Note: 3b Has 3 Rooms. 7a Has 2 Rooms. 2b Has 2 Majong Rooms, 1 Office.,
Room 7a: 1 Occupants (04/21/2015 - 04/22/2015) Origin: China Booking: Unk.,
-Interview Notes: XXXXXX 9057 51 Ave Elmhurst 11-16-78. Unknown Amount $.",0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,Yes
1/2/15,01/2015,2015,,Illegal Hotel,PBMS,MN-01050-0049,"Complaint - BIS, Re-Inspection",Metro Hotel,"440 West 41 Street, New York, New York 10036",10036,All,,Female,,Santiago Davis Giglio Pugach Parczewski,"ECB DEPT. OF BUILDINGS 35151344J,
ECB DEPT. OF BUILDINGS 35151335H,
ECB DEPT. OF BUILDINGS 35151338N,
ECB DEPT. OF BUILDINGS 35151339P,
ECB DEPT. OF BUILDINGS 35151345L,
ECB DEPT. OF BUILDINGS 35151346N,
ECB DEPT. OF BUILDINGS 35151342X,
ECB DEPT. OF BUILDINGS 35151343H,
ECB DEPT. OF BUILDINGS 35151336J,
ECB DEPT. OF BUILDINGS 35151341Y,
ECB DEPT. OF BUILDINGS 35151340M,
FD E436256 (Served),
FD E436255 (Served),
FD E436254 (Served),
FD E436257 (Served),
FD E436253 (Served),
Summons FIRE DEPARTMENT OF NYC 4420545239,
Summons FIRE DEPARTMENT OF NYC 4420545211,
Summons FIRE DEPARTMENT OF NYC 4420545190,
Summons FIRE DEPARTMENT OF NYC 4420545208,
Summons FIRE DEPARTMENT OF NYC 4420545225,
Summons FIRE DEPARTMENT OF NYC 4420545186,
Summons FIRE DEPARTMENT OF NYC 4420545242,
Inspection Note: Illegal Transient Use Thruout. Sprinkler System And Fire Alarm Out. No Fsd On Site. Vios Issued.",0,0,11,0,5,7,0,0,0,0,0,0,0,0,23,Yes
1/5/15,01/2015,2015,,Illegal Hotel,PBMS,MN-01028-7501,Investigation,,"235 West 56 Street, New York, New York 10019",10019,,,,,Levine Giglio Pugach,"ECB DEPT. OF BUILDINGS 35151361L,
Inspection Note: Investigation Of Office In Apt 30d. No Access. Returned At 1300 Spoke With XXXXXX Who Showed Us Bis Office Which Comprised All Of Apt 30d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
4/23/15,04/2015,2015,,Illegal Hotel,PBMN,MN-01184-0100,Complaint - OSE,,"318 West 75th Street, New York, New York 10023",10023,3a,,,,Davis Parczewski,"ECB DOB 35151868K,
ECB DOB 35151870J,
ECB DOB 35151869M,
ECB DOB 35151867Z,
Inspection Note: Transient Use Observed.,
Room 3a: 5 Occupants (04/20/2015 - 04/27/2015) Origin: France Booking:,
-Interview Notes: $3175 Wk.",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,Yes
1/3/15,01/2015,2015,,Illegal Hotel,PBMN,MN-01452-0003,Complaint - BIS,,"1484 2nd Avenue, New York, New York 10075",10075,,,,,Levine Parczewski,"ECB DEPT. OF BUILDINGS 35151349Z,
ECB DEPT. OF BUILDINGS 35151375M,
ECB DEPT. OF BUILDINGS 35151348R,
ECB DEPT. OF BUILDINGS 35151347P,
Inspection Note: Illegal Hotel In Apts 2a And 3a,
Room 2a: 4 Occupants (12/22/2014 - 01/04/2015) Origin: Sweden Booking: Roomorama,
-Interview Notes:,
Room 3a: 6 Occupants (12/31/2014 - 01/03/2015) Origin: Ft Lauderdale XXXXXX Paid $1200 For Their Stay Booking: Airbnb,
-Interview Notes:",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,Yes
3/19/15,03/2015,2015,,Illegal Hotel,PBBS,BK-01369-0013,Posting,,"1564 Prospect Place, New York, New York 11233",11233,3f,,,,Davis Pugach,Inspection Note: Post Vacate Order.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/5/15,01/2015,2015,,Illegal Hotel,PBMS,MN-01033-0001,Complaint - BIS,,"360 West 43 Street, New York, New York 10036",10036,,,Male,,Levine Pugach Giglio,"ECB DEPT. OF BUILDINGS 35151357Z,
ECB DEPT. OF BUILDINGS 35151359M,
ECB DEPT. OF BUILDINGS 35151360J,
ECB DEPT. OF BUILDINGS 35151358K,
Inspection Note: Illegal Hotel In Apts N7h And N3k Being Run By Apic Who Resides In Phb. Super XXXXXX Notified Of Viols. Apic Admits To Running Hotel Business,
Room N3k: 4 Occupants (12/28/2014 - 01/08/2015) Origin: Korea Booking: Other,
-Interview NotesXXXXXX Rented 1 Room For $1400.00 XXXXXX Rented 1 Room From 12/24-1/5 For $2000.00,
Room N7h: 2 Occupants (12/26/2014 - 01/07/2015) Origin: Korea Booking: Dumar Guest House,
-Interview Notes: XXXXXX Paid $1600",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,Yes
1/14/15,01/2015,2015,,Illegal Hotel,PBMS,MN-01050-0049,"Investigation, make reservation",,"440 West 41st Street, New York, New York 10018",10018,,,,,Levine,"ECB DOB 35151442N,
Inspection Note: Reservation #185713802 Made For XXXXXX To Checkin On Jan 26 Thru Jan 29 2 Adults For A Total Of $309.60 Confirmation # 120399639194 Received.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
2/19/15,02/2015,2015,,Illegal Hotel,PBMS,MN-01051-7501,Investigation,,"422 West 42nd Street, New York, New York 10036",10036,,,,,Davis Pugach,"ECB DOB 35151637N,
Inspection Note: Ose Booking.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
2/28/15,02/2015,2015,,Illegal Hotel,PBMS,MN-01059-0058,Complaint - OSE,,"450 West 50th Street, New York, New York",,3r,,,,Pugach Giglio Santiago,"ECB DEPT. OF BUILDINGS 35151640Y,
ECB DEPT. OF BUILDINGS 35151643J,
ECB DEPT. OF BUILDINGS 35151642H,
ECB DEPT. OF BUILDINGS 35151641X,
FD E436245 (Served),
Inspection Note: Apt 3r Transient Use. Violations Issued.,
Room 3r: 8 Occupants (02/26/2015 - 03/03/2015) Origin: Germany Booking: Airbnb,
-Interview Notes: Occupant XXXXXX ) States He Booked Room Thru Airbnb For A Bachelor Party For 2938 Euros.",0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,Yes
2/12/15,02/2015,2015,,Illegal Hotel,PBMN,MN-01868-0059,Posting Violation,Park Royal Hotel,"298 West 97th Street, New York, New York 10025",10025,,,,,Santiago Davis Parczewski,Inspection Note: Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3/27/15,03/2015,2015,,Illegal Hotel,PBBN,BK-01961-0008,Complaint - OSE,,"440 Waverly Avenue, New York, New York 11238",11238,Front Apt,,,,Santiago Giglio Pugach,"ECB DEPT. OF BUILDINGS 35151735R,
FD E435673 (Served),
Inspection Note: Transient Use In Front Apt. Vios Issued.,
Room Front Apt: 6 Occupants (03/26/2015 - 04/02/2015) Origin: Germany Booking: Other,
-Interview Notes: Occupant XXXXXX States He Rented Apt While On Vacation For â‚¬2800 Euros From XXXXXX Who Is Not Residing There At The Time Of Their Visit. 4 Adults And 2 Children Are Staying.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,Yes
4/16/15,04/2015,2015,,Illegal Hotel,PBMS,MN-00280-0039,Posting,,"43 East Broadway, New York, New York 10002",10002,406,,,,Giglio Pugach Davis Santiago,"ECB 35151834M,
Inspection Note: Execute Vacate Order",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
4/11/15,04/2015,2015,,Illegal Hotel,PBMS,MN-01053-0006,Complaint - BIS,,"459 West 43rd Street, New York, New York 10036",10036,1b & 2r.,,,,Davis Pugach Santiago,"ECB DEPT. OF BUILDINGS 35151826M,
ECB DEPT. OF BUILDINGS 35151796K,
ECB DEPT. OF BUILDINGS 35151799X,
ECB DEPT. OF BUILDINGS 35151798Y,
ECB DEPT. OF BUILDINGS 35151797M,
ECB DOB 35151825K,
FD E435686 (Served),
FD E435687 (Served),
Room Apt 1b , Room 1.: 2 Occupants (04/10/2015 - 04/12/2015) Origin: Thailand Booking: Airbnb,
-Interview Notes: Pictures Taken... 274â‚¬,
Room Apt 1b Rooms 3: 2 Occupants (04/10/2015 - 04/12/2015) Origin: Virginia. Booking: Airbnb,
-Interview Notes: Picture Taken.,
Room Apt 1b. Room2: 2 Occupants (04/10/2015 - 04/12/2015) Origin: Massachusetts. Booking: Airbnb,
-Interview Notes: $110/nt. Pictures Taken.,
Room 2r: 4 Occupants (04/09/2015 - 04/14/2015) Origin: Israel Booking: Subletforyou.Com,
-Interview Notes: Picture Taken. $319/nt.",0,0,6,0,2,0,0,0,0,0,0,0,0,0,8,Yes
3/11/15,03/2015,2015,,Illegal Hotel,PBBN,BK-01786-0018,"Other, vacate order",Prince Hostel,"264 Kosciusko Street, New York, New York 11221",11221,3 And Celllar.,,,,Pugach Parczewski Santiago Davis,"ECB FDNY 11410262Z,
FD E435657 (Served),
Inspection Note: Issue Vacate Order",0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Yes
3/18/15,03/2015,2015,,Illegal Hotel,PBBS,BK-01369-0013,Complaint - OSE,,"1564 Prospect Place, New York, New York 11233",11233,3f,,,,Davis Santiago Parczewski,"ECB DOB 35151708L,
ECB DOB 35151707J,
ECB DOB 35151704Y,
ECB DOB 35151706H,
ECB DOB 35151703M,
ECB DOB 35151705X,
FD E435661 (Served),
FD E435664 (Served),
Summons FIRE DEPARTMENT 4422827105,
Inspection Note: 3 Bedrooms. Front Right Has 2 Bunk Beds. Front Left Has 2 Bunk Beds. Middle Room Has 1 Bunk Bed.,
Room Front Left: 1 Occupants (03/16/2015 - 03/18/2015) Origin: Russia. Booking: Craigslist,
-Interview Notes: $150 Total.",0,0,6,0,2,1,0,0,0,0,0,0,0,0,9,Yes
1/10/15,01/2015,2015,,Illegal Hotel,PBMN,MN-01721-0103,Complaint - BIS,Upper Central Nyc,"246 Malcolm X Boulevard, New York, New York 10027",10027,,,Female,,Parczewski Levine,"ECB DEPT. OF BUILDINGS 35151408J,
ECB DEPT. OF BUILDINGS 35151405Y,
ECB DEPT. OF BUILDINGS 35151409L,
ECB DEPT. OF BUILDINGS 35151406X,
ECB DEPT. OF BUILDINGS 35151407H,
ECB DEPT. OF BUILDINGS 35151410Z,
Inspection Note: Hostel Operating As Upper Central Nyc-Managed By XXXXXX. Bldg Owner Living In The Basement--1 Floor Is Office And Kitchen Dining Area. 2a Has 8 Beds. 2b Has 8 Beds. 3a Has 8 Beds. 3b Has 4 Beds. 3c Has 4 Beds. 4a Has 10 Beds. 4b Has 4 Beds. 4c Has 4 Beds.,
Room 3b: 1 Occupants (01/07/2014 - 01/11/2014) Origin: Lithuania Booking: Booking.Com,
-Interview Notes: Vyta Degutif Paid $197,
Room 3a: 1 Occupants (01/07/2014 - 01/15/2014) Origin: Argentina Booking: Hostelbookers,
-Interview Notes: XXXXXX Paid 394,
Room 3a: 1 Occupants (01/08/2014 - 01/10/2017) Origin: New Zealand Booking: Other,
-Interview Notes: XXXXXX Paid $98,
Room 2a: 1 Occupants (01/09/2014 - 01/11/2014) Origin: Japan Booking: Other,
-Interview Notes: XXXXXX Paid $ 98,
Room 4a: Occupants (01/08/2014 - 01/11/2014) Origin: Brazil Booking: Booking.Com,
-Interview Notes: XXXXXX Paid $160 For Stay",0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,Yes
2/24/15,02/2015,2015,,Illegal Hotel,PBMS,MN-00619-0026,Posting Violation,,"218 West 10th Street, New York, New York 10014",10014,,,,,Parczewski Davis,Inspection Note: Post.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
4/8/15,04/2015,2015,,Illegal Hotel,PBMS,MN-01055-0040,"Complaint - OSE, Re-Inspection",,"410 West 46th Street, New York, New York 10036",10036,"1st Floor Rear, 4c, 5a",,,,Santiago Pugach Giglio,Inspection Note: Apt 1st Floor Rear Checked In Yesterday But Would Not Provide Any Other Information. No Access To Apt 4c And 5a.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/16/15,02/2015,2015,,Illegal Hotel,PBMS,MN-01036-0048,Investigation,,"336 West 46th Street, New York, New York 10036",10036,3f,,,,Davis Pugach Santiago Giglio,"ECB FIRE DEPARTMENT OF NYC 11410257Y,
DOB 021615CMTF13VP (Served),
FD E436244 (Served),
Inspection Note: Transient Use In 3f.,
Room 3f: 5 Occupants (02/10/2015 - 02/17/2015) Origin: Bolivia Booking: Booking.Com,
-Interview Notes: $1000./wk.",1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,Yes
3/25/15,03/2015,2015,,Illegal Hotel,PBMS,MN-00349-0025,Posting,,"57 Clinton Street, New York, New York 10002",10002,1a,,,,Parczewski Pugach Santiago Davis,Inspection Note: Post Vacate Order.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/13/15,01/2015,2015,,Illegal Hotel,PBMS,"MN-998-26, MN-00998-0026",Complaint - BIS,,"109 West 45 Street, New York, New York 10036",10036,,,,,Parczewski Davis,"ECB DEPT. OF BUILDINGS 35151416J,
ECB DEPT. OF BUILDINGS 35151415H,
ECB DEPT. OF BUILDINGS 35151420M,
ECB DEPT. OF BUILDINGS 35151414X,
ECB DEPT. OF BUILDINGS 35151417L,
ECB DEPT. OF BUILDINGS 35151418N,
Inspection Note: Guest Registry Provided. Staircase A & B From 2-11. Only A From 2 To Lobby. Sprinklers In Lobby And Hallways Only.",0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,Yes
1/23/15,01/2015,2015,,Illegal Hotel,PBMS,MN-01050-0049,Posting Violation,Metro,"440 West 41st Street, New York, New York 10018",10018,,,Female,,Giglio Pugach,Inspection Note: Post Dob Violations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/16/15,02/2015,2015,,Illegal Hotel,PBMS,MN-00205-7502,Complaint - BIS,,"180 Hester Street, New York, New York 10013",10013,3-6.,,,,Santiago Davis Giglio Pugach,"ECB DEPT. OF BUILDINGS 35151569K,
ECB DEPT. OF BUILDINGS 35151571J,
ECB FIRE DEPARTMENT OF NYC 11410256M,
ECB DEPT. OF BUILDINGS 35151570H,
ECB DEPT. OF BUILDINGS 35151566P,
FD E436239 (Served),
FD E436238 (Served),
Summons FIRE DEPARTMENT 4422816605,
Summons FIRE DEPARTMENT 4422816583,
Summons FIRE DEPARTMENT 4422816597,
Inspection Note: Illegal Transient Use.,
Room 3 Floor: 2 Occupants (02/08/2015 - 02/16/2015) Origin: Australia Booking: Vrbo,
-Interview Notes:,
Room 5 Floor: 4 Occupants (02/03/2015 - 02/17/2015) Origin: Argentina. Booking: Airbnb,
-Interview Notes: XXXXXX. Approx. $2000 Wk.,
Room 4 Floor: 3 Occupants (02/09/2015 - 02/17/2015) Origin: Australia Booking: Booking.Com,
-Interview Notes: XXXXXX,
Room 6 Floor: 5 Occupants (02/13/2015 - 02/20/2015) Origin: England Booking: Other,
-Interview Notes:",0,0,4,0,2,3,1,0,0,0,0,0,0,0,10,Yes
2/6/15,02/2015,2015,,Illegal Hotel,PBQN,QN-05050-0004,Complaint - BIS,,"144-20 41st Avenue, Flushing, New York",,204,,Male,Chinese,Pugach Giglio,Inspection Note: Occupant Directed To Vacate Apt. Occupant Stated He Did Not Need Red Cross.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/4/15,02/2015,2015,,Illegal Hotel,PBMS,MN-00786-0042,Complaint - BIS,,"488 7th Avenue, New York, New York 10018",10018,,,Male,,Levine Santiago Pugach Giglio,"ECB DEPT. OF BUILDINGS 35151512J,
ECB DEPT. OF BUILDINGS 35151511H,
ECB DEPT. OF BUILDINGS 35151510X,
FD E436229 (Served),
Inspection Note: Illegal Hotel In Apt 3d. Office In Apt 4e,
Room 3d: 2 Occupants (02/02/2015 - 02/05/2015) Origin: St Lawrence County Ny Booking: Booking.Com,
-Interview Notes: XXXXXX Rented For $200.00 Per Night,
Room 4e: 1 Occupants ( - ) Origin: Booking:,
-Interview Notes: XXXXXX Using Apt As Office For Textile Business",0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,Yes
4/6/15,04/2015,2015,,Illegal Hotel,PBMS,MN-00798-0054,Complaint - OSE,,"120 West 23rd Street, New York, New York 10011",10011,3d,,,,Parra Giglio Santiago Pugach Parczewski,"ECB DEPT. OF BUILDINGS 35151803J,
ECB DEPT. OF BUILDINGS 35151800Y,
ECB DEPT. OF BUILDINGS 35151801X,
ECB DEPT. OF BUILDINGS 35151802H,
FD E435681 (Served),
Inspection Note: Transient Use Found. Overcrowding Conditions Observed. Vios Issued // XXXXXX States He Has Been Staying Here Since February. XXXXXX States She Is Staying For 2 Weeks. CXXXXXX States He Has Been Staying Here Since Match 8. XXXXXX States She Has Been Staying In Apartment Since February 4. Building Representative Manuel Cepero Is The Locksmith Who Replaced The Locks. Sheriff's Office On Scene. Short Term Tenants Paid Approx $30-40 Per Night. Long Term Tenants Paid Approx $740 Per Month. XXXXXX States He Is Staying Here Since Early February. Websites Room Was Booked Thru Are Gypsyhousing.Com/airbnb.Com/spareroom.Com/craigslist. Com. Partial Vacate Order Obtained",0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,Yes
4/4/15,04/2015,2015,,Illegal Hotel,PBMS,MN-01271-0014,Complaint - BIS,,"47 West 55th Street, New York, New York 10019",10019,"Apt #2,4",,,,Santiago Giglio Pugach,"ECB DEPT. OF BUILDINGS 11410269L,
ECB DEPT. OF BUILDINGS 35151775L,
ECB DEPT. OF BUILDINGS 35151776N,
ECB DEPT. OF BUILDINGS 35151777P,
ECB DEPT. OF BUILDINGS 35151749H,
FD E436274 (Served),
Inspection Note: Transient Use In Apts #2,4. Violations Issued.,
Room 4: 7 Occupants (03/28/2015 - 04/07/2015) Origin: Argentina Booking: Dny Apartments,
-Interview Notes: Occupant XXXXXX States He Rented Room Thru A Travel Agent For Approximately $400 Per Night For Vacation.,
Room 2: 4 Occupants (04/03/2015 - 04/07/2015) Origin: London England Booking: Other,
-Interview Notes: Occupant XXXXXX States He Rented Room Thru Tripadvisor For Vacation.",0,0,5,0,1,0,0,0,0,0,0,0,0,0,6,Yes
1/8/15,01/2015,2015,,Illegal Hotel,PBMS,MN-00837-0012,"Re-Inspection, Complaint - BIS",,"53 West 35th Street, New York, New York 10018",10018,,,,,Santiago Pugach Giglio,"ECB DOB 35151364R,
ECB DOB 35151363P,
ECB DOB 35151369X,
ECB DOB 35151365Z,
ECB DOB 35151362N,
ECB DOB 35151368Y,
ECB DOB 35151367M,
ECB DOB 35151366K,
FD E428042 (Served),
FD E428043 (Served),
Summons FIRE DEPARTMENT 4422816364,
Summons FIRE DEPARTMENT 4420545273,
Inspection Note: Apt #25 Transient Use. Apt 3fw Transient Use And 3 Sro Rooms. Apt #4 3 Sro Rooms.,
Room #25: 4 Occupants (01/01/2015 - 01/10/2015) Origin: Spain Booking: Airbnb,
-Interview Notes: XXXXXX States He Rented Room Thru Airbnb For Approx $1000.,
Room 3fw: 2 Occupants (01/05/2015 - 01/10/2015) Origin: Louisiana Booking:,
-Interview Notes: XXXXXX Rented Room From Www.Minbakdanawa.Com For Approx. $80 Per Night,
Room 3fw: 1 Occupants (01/06/2015 - 01/13/2015) Origin: Korea Booking: Unknown,
-Interview Notes: XXXXXX For Approx. $35 Per Night.",0,0,8,0,2,2,0,0,0,0,0,0,0,0,12,Yes
3/12/15,03/2015,2015,,Illegal Hotel,PBMS,MN-00375-0041,Complaint - BIS,,"65 Avenue D, New York, New York 10009",10009,4-Mar,,,,Parczewski Santiago Giglio,"ECB DEPT. OF BUILDINGS 35151688N,
ECB DEPT. OF BUILDINGS 35151689P,
ECB DEPT. OF BUILDINGS 35151690M,
ECB DEPT. OF BUILDINGS 35151691Y,
FD E435659 (Served),
Inspection Note: 3rd And 4th Floor Apts Rented As Transient Use. Vios Issued. Airbnb Listing #'s 2055151 And 2055417.,
Room 3rd Floor: 3 Occupants (03/08/2015 - 03/12/2015) Origin: Canada Booking: Airbnb,
-Interview Notes: Occupant XXXXXX States His Boss Rented The Apt Thru Airbnb For A Business Trip For Approximately $200 Per Night.,
Room 4th Floor: 4 Occupants (03/07/2015 - 03/14/2015) Origin: United Kingdom Booking: Airbnb,
-Interview Notes: Occupant XXXXXX States That He And 3 Friends Rented Apt Thru Airbnb For Approx $200 Per Night While On Holiday. He States They Split The Rental 4 Ways And Didn't Have Specifics Since His Friend Booked The Apt.",0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,Yes
3/11/15,03/2015,2015,,Illegal Hotel,PBBN,BK-01706-0049,"Other, Vacate",Prince Hostel,"1 Jewell Mckoy Lane, Brooklyn, New York 11213",11213,,,,,Davis Santiago Parczewski Pugach,"FD E436249 (Served),
FD E436248 (Served),
Inspection Note: Issue Vacate Order.",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,Yes
1/10/15,01/2015,2015,,Illegal Hotel,PBMS,MN-00619-0026,Complaint - BIS,,"218 West 10th Street, New York, New York 10014",10014,5a,,,,Santiago Davis Pugach,"ECB DEPT. OF BUILDINGS 35151372R,
ECB DEPT. OF BUILDINGS 35151374K,
ECB DEPT. OF BUILDINGS 35151371P,
ECB DEPT. OF BUILDINGS 35151373Z,
FD E428046 (Served),
Inspection Note: XXXXXX & Girlfriend.,
Room 5a: 2 Occupants (01/07/2015 - 01/13/2015) Origin: France Booking: Airbnb,
-Interview Notes: Approx.$1200.",0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,Yes
3/12/15,03/2015,2015,,Illegal Hotel,PBBN,BK-01827-0002,"Posting, vacate order",Brooklyn Houze,"101 Jefferson Avenue, New York 14450",14450,,,Male,,Parczewski Santiago Giglio,"FD E435658 (Served),
Inspection Note: Post Vacate Order And Violations. Tenant/apic Denied Our Inspection Request For Adjoining Apt. Cellar Contained 8 Beds.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Yes
1/30/15,01/2015,2015,,Illegal Hotel,PBBS,BK-08485-0015,"vacate order, Posting",,"1871 Coleman Street, New York, New York 11234",11234,2nd,,,,Pugach Santiago Giglio,Inspection Note: No Access. Vacate Order Posted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/5/15,02/2015,2015,,Illegal Hotel,PBQN,QN-05050-0004,Complaint - BIS,,"144-20 41st Avenue, Flushing, New York 11355",11355,204,,Male,,Pugach Santiago Giglio Davis Levine,"ECB DEPT. OF BUILDINGS 11410254Z,
ECB DEPT. OF BUILDINGS 35151517Z,
ECB DEPT. OF BUILDINGS 35151513L,
ECB DEPT. OF BUILDINGS 35151515P,
ECB DEPT. OF BUILDINGS 35151516R,
ECB DEPT. OF BUILDINGS 35151514N,
FD E436231 (Served),
FD E436230 (Served),
Summons FIRE DEPARTMENT OF NYC 4422816504,
Inspection Note: Apt 204. 8 Beds In 1 Room. Operator-Apic Resides With Wife In Second Room. Apic Admits To Running Hotel For Chinese Immigrants. Admits 1 Person For 3 Months. 1 Person For 3 Days. 1 Person For 6 Months. 1 Person For 1 Month. 1 Person For 3 Months. 1 Person For 2 Months. 1 Person For 1 Month. Price List Of Extras And Rules Posted On Door. In Evidence Pictures.",0,0,6,0,2,1,0,0,0,0,0,0,0,0,9,Yes
4/2/15,04/2015,2015,,Illegal Hotel,PBMS,MN-00716-0062,Complaint - OSE,,"448 West 19th Street, New York, New York 10011",10011,2ab/ph B,,,,Santiago Giglio Parczewski,"ECB DEPT. OF BUILDINGS 35151768N,
ECB DEPT. OF BUILDINGS 35151767L,
ECB DEPT. OF BUILDINGS 35151769P,
ECB DEPT. OF BUILDINGS 35151770M,
FD E435679 (Served),
FD E435678 (Served),
Inspection Note: Access Denied To Apt 2ab By An Unidentified Male. He Was Standing On Balcony And Stated He Was Not The Owner Of The Apt And That He Was Only Stating A Few Days. He Further States That There Were 2 Others In The Apt. He Asked For A Few Minutes To Talk To Someone. We Went Up To Door Of Apt 2ab And Heard A Male Voice Arguing Apparently On Phone With A Male Named XXXXXX. Ph B Transient Use. Violations Issued.,
Room Penthouse B: 6 Occupants (04/02/2015 - 04/06/2015) Origin: Italy Booking: Airbnb,
-Interview Notes: Occupant XXXXXX States His Family Rented The Room From Airbnb ( Host XXXXXX ) For Vacation For Approximately $2500. Airbnb Listing # 4863209.",0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,Yes
4/8/15,04/2015,2015,,Illegal Hotel,PBMS,MN-00446-0035,Posting,,"69 First Avenue, New York, New York",,,,,,Davis Parczewski,Inspection Note: Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
4/24/15,04/2015,2015,,Illegal Hotel,PBQN,QN-05185-0017,Complaint - BIS,,"140-30 Ash Avenue, Flushing, New York 11355",11355,1e,,,,Santiago Davis Pugach Giglio,"ECB DEPT. OF BUILDINGS 35151845H,
ECB DEPT. OF BUILDINGS 35151842M,
ECB DEPT. OF BUILDINGS 35151844X,
ECB DEPT. OF BUILDINGS 35151843Y,
ECB DEPT. OF BUILDINGS 35151846J,
FD E435694 (Served),
Summons DEPT. OF BUILDINGS 4422827223,
Inspection Note: 15 Beds. 1 Bathroom. 1 Kitchen. 7 People. 4 Unknown Males. 3 Unknown Females.",0,1,5,0,1,0,0,0,0,0,0,0,0,0,7,Yes
1/12/15,01/2015,2015,,Illegal Hotel,PBMN,MN-01721-0103,Complaint - BIS,Upper Central Nyc.,"246 Lenox Avenue, New York, New York 10027",10027,1-4.,,Male,,Santiago Davis Parczewski,"FD E428947 (Served),
Summons FIRE DEPARTMENT OF NYC 4422816316,
Inspection Note: Serve And Execute Vacate Order.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,Yes
1/29/15,01/2015,2015,,Illegal Hotel,PBBS,BK-08485-0015,Complaint - OSE,,"1871 Coleman Street, New York, New York 11234",11234,,,,,Levine Santiago Giglio Pugach,"ECB DEPT. OF BUILDINGS 35151498M,
ECB DEPT. OF BUILDINGS 35151500M,
ECB DEPT. OF BUILDINGS 35151497K,
ECB DEPT. OF BUILDINGS 35151499Y,
FD E436227 (Served),
FD E436226 (Served),
Inspection Note: Allowed Entry By 14 Yo XXXXXX. Accompanied By 63 Pct Uniformed School Sgt And Officers. Denied Entry To Basement. 2nd Floor Occupied With 2 Rooms. XXXXXX Paid 380 For 1 Week. Other Room Occupied By XXXXXX,
Room 2 Floor Right Room: 1 Occupants (01/25/2015 - 02/01/2015) Origin: Refused Booking: Russian Local Paper,
-Interview Notes: XXXXXX Paid $380 For Stay",0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,Yes
